ENSG00000184811
ENSG00000196139
ENSG00000163466
ENSG00000231663
ENSG00000122971
ENSG00000181092
ENSG00000183258
ENSG00000135940
ENSG00000184557
ENSG00000260260
ENSG00000177731
ENSG00000080824
ENSG00000152291
ENSG00000163682
ENSG00000111786
ENSG00000224877
ENSG00000134531
ENSG00000007520
ENSG00000164056
ENSG00000147400
ENSG00000109736
ENSG00000102871
ENSG00000178952
ENSG00000213741
ENSG00000204228
ENSG00000115738
ENSG00000162191
ENSG00000101182
ENSG00000198171
ENSG00000108518
ENSG00000136156
ENSG00000158604
ENSG00000146834
ENSG00000166311
ENSG00000118816
ENSG00000167799
ENSG00000106628
ENSG00000168209
ENSG00000123342
ENSG00000164032
ENSG00000124172
ENSG00000160446
ENSG00000160209
ENSG00000125520
ENSG00000163931
ENSG00000230989
ENSG00000188486
ENSG00000112306
ENSG00000182551
ENSG00000124785
ENSG00000232533
ENSG00000189058
ENSG00000174109
ENSG00000067829
ENSG00000168002
ENSG00000205106
ENSG00000204628
ENSG00000117519
ENSG00000186827
ENSG00000185896
ENSG00000129596
ENSG00000125901
ENSG00000144567
ENSG00000172586
ENSG00000179218
ENSG00000156928
ENSG00000196126
ENSG00000105373
ENSG00000198668
ENSG00000167797
ENSG00000149257
ENSG00000138495
ENSG00000176046
ENSG00000167671
ENSG00000089220
ENSG00000051523
ENSG00000162878
ENSG00000162734
ENSG00000116685
ENSG00000138172
ENSG00000105193
ENSG00000117318
ENSG00000092010
ENSG00000100906
ENSG00000171443
ENSG00000126947
ENSG00000149591
ENSG00000126458
ENSG00000169733
ENSG00000184009
ENSG00000185624
ENSG00000148290
ENSG00000206172
ENSG00000143384
ENSG00000215717
ENSG00000107140
ENSG00000100664
ENSG00000136942
ENSG00000168028
ENSG00000197858
ENSG00000110958
ENSG00000137818
ENSG00000169567
ENSG00000173369
ENSG00000123384
ENSG00000102317
ENSG00000090266
ENSG00000181924
ENSG00000204227
ENSG00000049245
ENSG00000101405
ENSG00000164897
ENSG00000265972
ENSG00000091513
ENSG00000152518
ENSG00000167701
ENSG00000167779
ENSG00000111275
ENSG00000239911
ENSG00000246705
ENSG00000178980
ENSG00000086504
ENSG00000113140
ENSG00000131871
ENSG00000104522
ENSG00000166823
ENSG00000159346
ENSG00000162384
ENSG00000125652
ENSG00000174444
ENSG00000163346
ENSG00000196655
ENSG00000108821
ENSG00000184164
ENSG00000113558
ENSG00000083845
ENSG00000100300
ENSG00000139112
ENSG00000142669
ENSG00000139644
ENSG00000116898
ENSG00000172201
ENSG00000264364
ENSG00000167969
ENSG00000141959
ENSG00000185650
ENSG00000075624
ENSG00000178988
ENSG00000114867
ENSG00000158042
ENSG00000105677
ENSG00000115350
ENSG00000104872
ENSG00000087077
ENSG00000213719
ENSG00000100097
ENSG00000197958
ENSG00000197766
ENSG00000166226
ENSG00000167792
ENSG00000099860
ENSG00000145592
ENSG00000115073
ENSG00000183648
ENSG00000123080
ENSG00000090581
ENSG00000066322
ENSG00000156261
ENSG00000168906
ENSG00000144021
ENSG00000149806
ENSG00000175445
ENSG00000101160
ENSG00000125534
ENSG00000041880
ENSG00000136158
ENSG00000244734
ENSG00000182054
ENSG00000101166
ENSG00000105472
ENSG00000176485
ENSG00000084623
ENSG00000101474
ENSG00000164111
ENSG00000204592
ENSG00000188783
ENSG00000136003
ENSG00000142937
ENSG00000120438
ENSG00000110651
ENSG00000205581
ENSG00000154277
ENSG00000168439
ENSG00000169418
